REF_AREA_LABEL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Prevalence of undernourishment (% of population),"Life expectancy at birth, total (years)","School enrollment, secondary (% gross)",Proportion of seats held by women in national parliaments (%),People using at least basic drinking water services (% of population),Access to electricity (% of population),GDP per capita (constant 2015 US$),Individuals using the Internet (% of population),Gini index,Urban population (% of total population),Combustible renewables and waste (% of total energy),Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Terrestrial and marine protected areas (% of total territorial area),Forest area (% of land area),Control of Corruption: Estimate,"Personal remittances, received (% of GDP)"
India,5.3,12.540000000000001,70.0594,78.14800549122265,13.99059935350734,92.14125023127369,97.38000000000001,1937.8820378873256,37.225,25.5,34.93860000000001,21.079487494617346,2544.68122,3.8600000000000003,24.270228273336045,-0.29306604266166697,3.021613881318742
Indonesia,9.92,6.480000000000001,69.52459999999999,97.06549824702208,20.10341614906834,92.5801786824473,98.72,3833.4549726126907,53.98,35.6,56.63499999999999,10.07464606720867,621.00936,5.3,48.91736589876262,-0.42264984250068666,0.9629078044606543
"Iran, Islamic Rep.",3.72,6.88,75.6336,87.0725479125977,5.709584533113942,97.44610776963556,100.0,5226.1066383711095,75.2,36.0,75.863,0.18571808626373554,713.9050799999999,7.7,6.627280949152542,-1.081989419460297,0.0
Iraq,1.3686666666666665,16.080000000000002,70.95060000000001,90.76145514626693,26.93009118541034,97.95901984571795,99.97999999999999,4491.330920894929,55.120000000000005,31.155333333333335,70.9034,0.09320339253365288,181.57706,1.5,1.9003611837983272,-1.332905650138854,0.366551180568941
Ireland,0.13999999999999999,2.5,82.42536585365855,139.3253753662108,22.485759493670876,95.99986857234023,100.0,84573.53728261121,91.8,29.880000000000003,63.66460000000001,5.831951668744088,35.24118,4.0,11.351720133546232,1.564536666870118,0.0991655333917796
Israel,0.7749999999999999,2.5,82.69121951219513,96.52106170654297,25.99999999999998,99.99999894631462,100.0,39878.749054473636,88.56000000000002,38.15,92.58860000000001,0.6042207399762174,62.90154,10.120000000000001,6.469500924214418,0.734950602054596,0.25057670900835
Italy,1.04,2.5,82.87707317073173,101.65861053466799,35.02142857142856,99.9170340740928,100.0,31925.845193250767,74.56000000000002,34.7,71.0432,10.15110363067053,327.20274,13.940000000000001,32.34884695672271,0.4007914096117018,0.4980859552571156
Jamaica,0.8999999999999999,6.959999999999999,71.03119999999998,86.1785217285156,24.126984126984162,91.0085082996563,99.36,5092.938836616722,76.03999999999999,37.599999999999994,56.326,7.082088253527248,7.159280000000001,1.44,55.11439335180055,-0.09334838204085827,20.22991395523514
Japan,1.1333333333333335,2.98,84.31385365853659,102.48667297363258,9.939747868001472,99.09208702491283,100.0,35760.95499079595,87.88,32.733333333333334,91.7836,3.998982134837749,1097.1569599999998,12.080000000000002,68.40877914951989,1.4717980861663817,0.1002142781090759
Jordan,1.9920000000000002,14.959999999999997,76.0462,90.11151275634764,13.230769230769221,98.95765634348686,99.92,3887.768692091739,78.04,32.762,91.4106,1.1710558761881396,23.01832,3.6799999999999997,1.0980817962575817,0.06865706257522108,10.52493815749938
Kazakhstan,0.05,2.5,72.37119999999999,97.85699462868521,27.15394110386178,95.43157274651246,100.0,10831.334367431715,85.98,28.425,57.69,0.07381314622664054,231.12869999999998,8.3,1.279653242952921,-0.3204094886779786,0.24249235423715781
Kenya,45.4,27.52,62.4268,69.92927549155911,22.07438343511604,61.52788852955689,70.97999999999999,1659.6323976939202,21.1,37.45,28.0054,62.23753566889282,20.1226,10.459999999999999,6.344818498084829,-0.8077281355857849,3.1698649103543497
Kiribati,6.1,3.6,65.45899999999999,86.9662170410156,7.053140096618359,74.35707344071322,91.0,1851.596715648054,36.3,27.8,55.5758,38.392447439726155,0.0866,11.8,1.45679012345679,0.34054845571517944,7.9303617106320345
"Korea, Rep.",0.15000000000000002,2.5,83.09756097560977,98.16002655029298,18.06214689265538,99.84539661481222,100.0,32108.965176163114,96.69999999999999,33.125,81.4288,2.360130988968317,630.9549999999999,5.42,64.42658588738418,0.6915191531181336,0.4383308639797664
Kuwait,0.30400000000000005,2.5,80.03229756097562,97.49563613806896,4.365995115995117,100.0,100.0,26322.150097614904,99.52,31.224,100.0,22.199264613077148,102.19446,10.76,0.3507295173961841,-0.0992423191666604,0.12286137996149378
Kyrgyz Republic,6.0600000000000005,5.2,71.74975609756099,93.65599089929509,19.152832674571837,90.30995381108902,99.84,1163.0019324264022,71.72,28.32,36.88100000000001,0.03680847858863261,10.36416,6.7,6.858081334723671,-1.085516977310181,30.44791052720127
Lao PDR,15.7,6.12,68.0732,62.0651067449607,25.290554918971978,84.88153103331588,98.12,2538.064126372469,52.4,38.8,36.294,28.439348559589483,21.40746,17.9,71.90424610051994,-1.0356562018394464,1.368702063235943
Latvia,0.45999999999999996,2.5,74.5229268292683,106.658596801758,30.0,98.79003136982453,100.0,15564.866089755044,88.16,34.660000000000004,68.328,37.922048108662025,7.453619999999999,17.5,54.81047183875804,0.5770453453063964,3.457743325971319
Lebanon,4.339,8.3,76.8846,82.86594886695079,5.0,92.5468535773545,99.94,6955.211306391046,82.0,37.843333333333334,88.92620000000001,2.4429887613702412,22.00862,0.9199999999999999,14.010752688172042,-1.171473932266236,21.181299286203572
Lesotho,33.34,21.592,55.2082,43.00764753649746,23.715485706543802,73.2476663204655,47.9,995.4025560436419,43.68,35.7,29.037799999999997,49.78739688109188,0.7691600000000001,0.42000000000000004,1.137022397891963,-0.22293672263622283,21.743705499490243
Liberia,52.6,37.18,61.319599999999994,37.8051300048828,11.78082191780822,74.64407048583345,27.02,633.5066933630263,19.5,40.379999999999995,52.09860000000001,64.06852924328909,1.53442,1.2,79.08471760797343,-0.9114435076713562,13.35579774032308
